시도,시군구,날짜,전세가율,시도코드,매물종별구분
서울,종로구,2013-04,57.12,11,아파트
서울,종로구,2013-05,57.13,11,아파트
서울,종로구,2013-06,57.4,11,아파트
서울,종로구,2013-07,57.82,11,아파트
서울,종로구,2013-08,58.24,11,아파트
서울,종로구,2013-09,58.98,11,아파트
서울,종로구,2013-10,59.56,11,아파트
서울,종로구,2013-11,59.55,11,아파트
서울,종로구,2013-12,59.73,11,아파트
서울,종로구,2014-01,60.06,11,아파트
서울,종로구,2014-02,60.72,11,아파트
서울,종로구,2014-03,61.36,11,아파트
서울,종로구,2014-04,61.57,11,아파트
서울,종로구,2014-05,61.64,11,아파트
서울,종로구,2014-06,61.93,11,아파트
서울,종로구,2014-07,62.04,11,아파트
서울,종로구,2014-08,62.29,11,아파트
서울,종로구,2014-09,62.53,11,아파트
서울,종로구,2014-10,62.71,11,아파트
서울,종로구,2014-11,64.86,11,아파트
서울,종로구,2014-12,65.15,11,아파트
서울,종로구,2015-01,65.41,11,아파트
서울,종로구,2015-02,65.99,11,아파트
서울,종로구,2015-03,66.07,11,아파트
서울,종로구,2015-04,66.11,11,아파트
서울,종로구,2015-05,66.52,11,아파트
서울,종로구,2015-06,67.0,11,아파트
서울,종로구,2015-07,67.19,11,아파트
서울,종로구,2015-08,68.06,11,아파트
서울,종로구,2015-09,68.17,11,아파트
서울,종로구,2015-10,68.5,11,아파트
서울,종로구,2015-11,68.64,11,아파트
서울,종로구,2015-12,68.53,11,아파트
서울,종로구,2016-01,66.61,11,아파트
서울,종로구,2016-02,67.45,11,아파트
서울,종로구,2016-03,67.45,11,아파트
서울,종로구,2016-04,67.48,11,아파트
서울,종로구,2016-05,67.62,11,아파트
서울,종로구,2016-06,68.12,11,아파트
서울,종로구,2016-07,69.34,11,아파트
서울,종로구,2016-08,70.34,11,아파트
서울,종로구,2016-09,70.45,11,아파트
서울,종로구,2016-10,70.43,11,아파트
서울,종로구,2016-11,70.46,11,아파트
서울,종로구,2016-12,70.24,11,아파트
서울,종로구,2017-01,70.44,11,아파트
서울,종로구,2017-02,70.14,11,아파트
서울,종로구,2017-03,70.46,11,아파트
서울,종로구,2017-04,70.45,11,아파트
서울,종로구,2017-05,71.51,11,아파트
서울,종로구,2017-06,71.11,11,아파트
서울,종로구,2017-07,70.89,11,아파트
서울,종로구,2017-08,70.61,11,아파트
서울,종로구,2017-09,70.42,11,아파트
서울,종로구,2017-10,70.23,11,아파트
서울,종로구,2017-11,70.07,11,아파트
서울,종로구,2017-12,69.59,11,아파트
